episode,coverage,steps,success,epsilon
668,0.950000,2500,0,0.263070
669,1.000000,1444,1,0.262544
670,0.930000,2500,0,0.262019
671,0.970000,2500,0,0.261495
672,0.980000,2500,0,0.260972
673,0.930000,2500,0,0.260450
674,0.980000,2500,0,0.259929
675,0.980000,2500,0,0.259409
676,0.980000,2500,0,0.258890
677,0.970000,2500,0,0.258372
678,0.980000,2500,0,0.257856
679,0.830000,2500,0,0.257340
680,0.960000,2500,0,0.256825
681,0.990000,2500,0,0.256311
682,0.950000,2500,0,0.255799
683,0.900000,2500,0,0.255287
684,0.870000,2500,0,0.254777
685,0.920000,2500,0,0.254267
686,0.890000,2500,0,0.253759
687,0.990000,2500,0,0.253251
688,1.000000,1667,1,0.252745
689,0.940000,2500,0,0.252239
690,0.880000,2500,0,0.251735
691,0.960000,2500,0,0.251231
692,0.950000,2500,0,0.250729
693,0.950000,2500,0,0.250227
694,1.000000,1926,1,0.249727
695,1.000000,2127,1,0.249227
696,0.930000,2500,0,0.248729
697,1.000000,2346,1,0.248231
698,0.940000,2500,0,0.247735
699,0.970000,2500,0,0.247239
700,0.970000,2500,0,0.246745
701,0.950000,2500,0,0.246252
702,0.960000,2500,0,0.245759
703,0.950000,2500,0,0.245267
704,0.900000,2500,0,0.244777
705,0.960000,2500,0,0.244287
706,0.990000,2500,0,0.243799
707,0.960000,2500,0,0.243311
708,0.970000,2500,0,0.242825
709,0.970000,2500,0,0.242339
710,0.960000,2500,0,0.241854
711,0.990000,2500,0,0.241371
712,0.980000,2500,0,0.240888
713,0.950000,2500,0,0.240406
714,0.940000,2500,0,0.239925
715,0.950000,2500,0,0.239445
716,0.810000,2500,0,0.238966
717,0.990000,2500,0,0.238489
718,0.960000,2500,0,0.238012
719,0.730000,2500,0,0.237536
720,0.910000,2500,0,0.237060
721,0.770000,2500,0,0.236586
722,1.000000,1121,1,0.236113
723,0.960000,2500,0,0.235641
724,0.970000,2500,0,0.235170
725,0.960000,2500,0,0.234699
726,0.910000,2500,0,0.234230
727,0.970000,2500,0,0.233761
728,0.900000,2500,0,0.233294
729,0.990000,2500,0,0.232827
730,0.980000,2500,0,0.232362
731,0.960000,2500,0,0.231897
732,0.960000,2500,0,0.231433
733,0.970000,2500,0,0.230970
734,0.910000,2500,0,0.230508
735,0.950000,2500,0,0.230047
736,0.950000,2500,0,0.229587
737,0.940000,2500,0,0.229128
738,0.930000,2500,0,0.228670
739,0.930000,2500,0,0.228213
740,0.870000,2500,0,0.227756
741,0.870000,2500,0,0.227301
742,0.820000,2500,0,0.226846
743,0.960000,2500,0,0.226392
744,0.960000,2500,0,0.225940
745,0.920000,2500,0,0.225488
746,0.850000,2500,0,0.225037
747,0.960000,2500,0,0.224587
748,0.920000,2500,0,0.224137
749,0.990000,2500,0,0.223689
750,0.970000,2500,0,0.223242
751,0.940000,2500,0,0.222795
752,0.940000,2500,0,0.222350
753,0.990000,2500,0,0.221905
754,0.950000,2500,0,0.221461
755,0.880000,2500,0,0.221018
